Process [0]: ParentProcess [0], Name: [System Process]
Process [9252]: ParentProcess [1392], Name: RuntimeBroker.exe

Process [9536]: ParentProcess [1240], Name: svchost.exe

Process [9544]: ParentProcess [1240], Name: svchost.exe

Process [9744]: ParentProcess [1240], Name: svchost.exe

Process [8772]: ParentProcess [1392], Name: dllhost.exe

Process [10548]: ParentProcess [3352], Name: ctfmon.exe

Process [10336]: ParentProcess [1240], Name: svchost.exe

Process [11024]: ParentProcess [6188], Name: GoogleCrashHandler.exe

Process [11068]: ParentProcess [6188], Name: GoogleCrashHandler64.exe

Process [8132]: ParentProcess [1240], Name: svchost.exe

Process [10916]: ParentProcess [1240], Name: NisSrv.exe

Process [7736]: ParentProcess [5964], Name: postgres.exe

Process [11644]: ParentProcess [7188], Name: SecurityHealthSystray.exe

Process [11676]: ParentProcess [1240], Name: SecurityHealthService.exe

Process [11824]: ParentProcess [1392], Name: WidgetService.exe

Process [11980]: ParentProcess [7188], Name: RtkAudUService64.exe

Process [12124]: ParentProcess [4444], Name: FnHotkeyCapsLKNumLK.exe

Process [12144]: ParentProcess [4444], Name: FnHotkeyUtility.exe

Process [12656]: ParentProcess [1392], Name: TextInputHost.exe

Process [12888]: ParentProcess [7188], Name: CCXProcess.exe

Process [12900]: ParentProcess [12888], Name: node.exe

Process [12912]: ParentProcess [12900], Name: conhost.exe

Process [13036]: ParentProcess [12900], Name: AdobeIPCBroker.exe

Process [13100]: ParentProcess [7188], Name: RiotClientServices.exe

Process [12424]: ParentProcess [13100], Name: RiotClientCrashHandler.exe

Process [13636]: ParentProcess [13592], Name: RzSynapse.exe

Process [14008]: ParentProcess [1240], Name: svchost.exe

Process [14180]: ParentProcess [13592], Name: jusched.exe

Process [7336]: ParentProcess [8644], Name: NhNotifSys.exe

Process [15928]: ParentProcess [1240], Name: svchost.exe

Process [16212]: ParentProcess [1240], Name: svchost.exe

Process [17044]: ParentProcess [1240], Name: svchost.exe

Process [16524]: ParentProcess [1240], Name: svchost.exe

Process [17188]: ParentProcess [1392], Name: XboxGameBarSpotify.exe

Process [17244]: ParentProcess [1392], Name: RuntimeBroker.exe

Process [3796]: ParentProcess [1240], Name: svchost.exe

Process [17668]: ParentProcess [1240], Name: svchost.exe

Process [17736]: ParentProcess [1240], Name: svchost.exe

Process [16000]: ParentProcess [1392], Name: ShellExperienceHost.exe

Process [6324]: ParentProcess [1392], Name: RuntimeBroker.exe

Process [2968]: ParentProcess [1392], Name: SystemSettingsBroker.exe

Process [11556]: ParentProcess [1240], Name: svchost.exe

Process [16380]: ParentProcess [1392], Name: ApplicationFrameHost.exe

Process [7128]: ParentProcess [14180], Name: jucheck.exe

Process [15572]: ParentProcess [1240], Name: OfficeClickToRun.exe

Process [3392]: ParentProcess [15572], Name: AppVShNotify.exe

Process [5596]: ParentProcess [1240], Name: SearchIndexer.exe

Process [2648]: ParentProcess [1392], Name: Video.UI.exe

Process [13988]: ParentProcess [1392], Name: RuntimeBroker.exe

Process [4856]: ParentProcess [1392], Name: LockApp.exe

Process [16400]: ParentProcess [1392], Name: RuntimeBroker.exe

Process [14412]: ParentProcess [7188], Name: chrome.exe

Process [10740]: ParentProcess [14412], Name: chrome.exe

Process [14144]: ParentProcess [14412], Name: chrome.exe

Process [5156]: ParentProcess [14412], Name: chrome.exe

Process [12392]: ParentProcess [14412], Name: chrome.exe

Process [2956]: ParentProcess [14412], Name: chrome.exe

Process [10588]: ParentProcess [14412], Name: chrome.exe

Process [9360]: ParentProcess [14412], Name: chrome.exe

Process [14756]: ParentProcess [14412], Name: chrome.exe

Process [8296]: ParentProcess [1392], Name: SystemSettings.exe

Process [17772]: ParentProcess [1240], Name: svchost.exe

Process [18084]: ParentProcess [1392], Name: UserOOBEBroker.exe

Process [9484]: ParentProcess [1392], Name: dllhost.exe

Process [8360]: ParentProcess [1392], Name: SDXHelper.exe

Process [13672]: ParentProcess [1392], Name: dllhost.exe

Process [13264]: ParentProcess [14412], Name: chrome.exe

Process [16880]: ParentProcess [14412], Name: chrome.exe

Process [15924]: ParentProcess [14412], Name: chrome.exe

Process [1796]: ParentProcess [14412], Name: chrome.exe

Process [12412]: ParentProcess [1772], Name: taskhostw.exe

Process [19448]: ParentProcess [1240], Name: svchost.exe

Process [2692]: ParentProcess [1392], Name: SearchHost.exe

Process [7688]: ParentProcess [1392], Name: RuntimeBroker.exe

Process [6232]: ParentProcess [14412], Name: chrome.exe

Process [9416]: ParentProcess [14412], Name: chrome.exe

Process [9504]: ParentProcess [7188], Name: devenv.exe

Process [11004]: ParentProcess [9504], Name: PerfWatson2.exe

Process [21980]: ParentProcess [9504], Name: Microsoft.ServiceHub.Controller.exe

Process [22160]: ParentProcess [21980], Name: ServiceHub.VSDetouredHost.exe

Process [21520]: ParentProcess [21980], Name: ServiceHub.IdentityHost.exe

Process [19652]: ParentProcess [21980], Name: ServiceHub.SettingsHost.exe

Process [6648]: ParentProcess [21980], Name: ServiceHub.Host.netfx.x86.exe

Process [12376]: ParentProcess [9504], Name: vshost.exe

Process [18924]: ParentProcess [21980], Name: ServiceHub.IntellicodeModelService.exe

